,chapter_no,topic_no,topic_prob
0,2017.0,0.0,0.03409466091249946
1,2017.0,1.0,0.026724397947730374
2,2017.0,2.0,0.01547560573287248
3,2017.0,3.0,0.026755137665626663
4,2017.0,4.0,0.017291657596897266
5,2017.0,5.0,0.013969588095543523
6,2017.0,6.0,0.0
7,2017.0,7.0,0.003948980710544306
8,2017.0,8.0,0.011174585807259836
9,2017.0,9.0,0.016597547918367556
10,2018.0,0.0,0.030184442706894393
11,2018.0,1.0,0.031799261264884075
12,2018.0,2.0,0.019278267082950027
13,2018.0,3.0,0.011853604348969475
14,2018.0,4.0,0.018157491711337834
15,2018.0,5.0,0.016090491061844115
16,2018.0,6.0,0.0018197041707922832
17,2018.0,7.0,0.027772473618814145
18,2018.0,8.0,0.03835897855992858
19,2018.0,9.0,0.0016161268657351444
20,2019.0,0.0,0.05161463811246121
21,2019.0,1.0,0.0234726038925054
22,2019.0,2.0,0.031269943838305156
23,2019.0,3.0,0.027235481611137865
24,2019.0,4.0,0.028993712063854083
25,2019.0,5.0,0.019437397612196074
26,2019.0,6.0,0.0
27,2019.0,7.0,0.007475520742426946
28,2019.0,8.0,0.007966853778740237
29,2019.0,9.0,0.010965069912548524
30,2020.0,0.0,0.04664531478081709
31,2020.0,1.0,0.013592864503518213
32,2020.0,2.0,0.03152248393301874
33,2020.0,3.0,0.02035114752024169
34,2020.0,4.0,0.023424698876773526
35,2020.0,5.0,0.0179893045309687
36,2020.0,6.0,0.002113804857451687
37,2020.0,7.0,0.01692184339049006
38,2020.0,8.0,0.008931666702936903
39,2020.0,9.0,0.02577696592052729
40,2022.0,0.0,0.038807706845935375
41,2022.0,1.0,0.026423387105150294
42,2022.0,2.0,0.033624229363682624
43,2022.0,3.0,0.016337480928352445
44,2022.0,4.0,0.01988856832124935
45,2022.0,5.0,0.015905247849656388
46,2022.0,6.0,0.011789733941223152
47,2022.0,7.0,0.02283769653017072
48,2022.0,8.0,0.02218449659596702
49,2022.0,9.0,0.03263795909930131
50,2021.0,0.0,0.04269275825106074
51,2021.0,1.0,0.01984736939175726
52,2021.0,2.0,0.03794715590178747
53,2021.0,3.0,0.019336723084447904
54,2021.0,4.0,0.01843686776494014
55,2021.0,5.0,0.012348327818539808
56,2021.0,6.0,0.007711780246989586
57,2021.0,7.0,0.006780311292871032
58,2021.0,8.0,0.012387141068233421
59,2021.0,9.0,0.019853328500594025
60,2023.0,0.0,0.05937706545144722
61,2023.0,1.0,0.020467857889323135
62,2023.0,2.0,0.034359651082298215
63,2023.0,3.0,0.04142119688911027
64,2023.0,4.0,0.026105298921422954
65,2023.0,5.0,0.01595792526586281
66,2023.0,6.0,0.011303989646748646
67,2023.0,7.0,0.015456531982164443
68,2023.0,8.0,0.027190826913104236
69,2023.0,9.0,0.017265287851359713
70,2024.0,0.0,0.040040185429972924
71,2024.0,1.0,0.002714915459611647
72,2024.0,2.0,0.0347569664386051
73,2024.0,3.0,0.01881849855527109
74,2024.0,4.0,0.011075642352010626
75,2024.0,5.0,0.008108284100905612
76,2024.0,6.0,0.0063951257810437616
77,2024.0,7.0,0.013389439874400326
78,2024.0,8.0,0.022890504058584532
79,2024.0,9.0,0.008158959392054362
80,2025.0,0.0,0.0685134716615249
81,2025.0,1.0,0.03686279790632188
82,2025.0,2.0,0.047677664658324195
83,2025.0,3.0,0.032554556165065716
84,2025.0,4.0,0.030774258669120938
85,2025.0,5.0,0.03555438791000627
86,2025.0,6.0,0.046944251353604374
87,2025.0,7.0,0.028168693418422316
88,2025.0,8.0,0.0227301810527029
89,2025.0,9.0,0.005637710349882459
90,2026.0,0.0,0.04443418021102744
91,2026.0,1.0,0.015631493611751025
92,2026.0,2.0,0.029990236970597762
93,2026.0,3.0,0.021863448231177737
94,2026.0,4.0,0.022135173314228655
95,2026.0,5.0,0.0088168402349172
96,2026.0,6.0,0.02607393707985298
97,2026.0,7.0,0.032541055054880745
98,2026.0,8.0,0.028761570767374043
99,2026.0,9.0,0.016416539235261304
100,2027.0,0.0,0.04924920358014247
101,2027.0,1.0,0.03593152506009277
102,2027.0,2.0,0.037824837419159485
103,2027.0,3.0,0.026135765581380012
104,2027.0,4.0,0.022302243574313985
105,2027.0,5.0,0.04222890612446558
106,2027.0,6.0,0.009932491853780269
107,2027.0,7.0,0.009943089902761578
108,2027.0,8.0,0.024800961825782224
109,2027.0,9.0,0.009877446616490437
110,2028.0,0.0,0.05184387015104268
111,2028.0,1.0,0.035205919484392084
112,2028.0,2.0,0.05914339313097539
113,2028.0,3.0,0.021101085469210037
114,2028.0,4.0,0.03217843184521367
115,2028.0,5.0,0.02962170529869401
116,2028.0,6.0,0.025650050827030823
117,2028.0,7.0,0.02206875160637107
118,2028.0,8.0,0.02444875828575973
119,2028.0,9.0,0.0077864541880444125
120,2030.0,0.0,0.051126826162628196
121,2030.0,1.0,0.030364232641441734
122,2030.0,2.0,0.035026825713801904
123,2030.0,3.0,0.02242184114146427
124,2030.0,4.0,0.044436484319941606
125,2030.0,5.0,0.019816406096658738
126,2030.0,6.0,0.016646219467775402
127,2030.0,7.0,0.032692657739774325
128,2030.0,8.0,0.024974324609156953
129,2030.0,9.0,0.007812495195728556
130,2031.0,0.0,0.0349434486872617
131,2031.0,1.0,0.01843986676034307
132,2031.0,2.0,0.02320473913852967
133,2031.0,3.0,0.013110615984809757
134,2031.0,4.0,0.035146527019144724
135,2031.0,5.0,0.012517221723633768
136,2031.0,6.0,0.0
137,2031.0,7.0,0.016532262855153863
138,2031.0,8.0,0.017853479220753785
139,2031.0,9.0,0.017791188578965323
140,2032.0,0.0,0.06096486495085384
141,2032.0,1.0,0.028710811308611615
142,2032.0,2.0,0.05753268192062421
143,2032.0,3.0,0.024584598105194148
144,2032.0,4.0,0.03273409167439627
145,2032.0,5.0,0.030507140765703173
146,2032.0,6.0,0.003505740651312688
147,2032.0,7.0,0.023352949497844364
148,2032.0,8.0,0.030570100749488096
149,2032.0,9.0,0.025637065057315705
150,2033.0,0.0,0.03475448052522083
151,2033.0,1.0,0.024058420319427707
152,2033.0,2.0,0.02645658229164043
153,2033.0,3.0,0.02716642316990085
154,2033.0,4.0,0.029516726919571294
