,chapter_no,topic_no,topic_prob
0,2057.0,0.0,0.019325270865071523
1,2057.0,1.0,0.009214871921488252
2,2057.0,2.0,0.017111734343626086
3,2057.0,3.0,0.00029539987942172696
4,2057.0,4.0,0.01570732729583514
5,2057.0,5.0,0.0009551932278899195
6,2057.0,6.0,0.009020883049162303
7,2057.0,7.0,0.014821713870409472
8,2057.0,8.0,0.005928515903572375
9,2057.0,9.0,0.0118768504137787
10,2058.0,0.0,0.0026552076155611664
11,2058.0,1.0,0.014259139392131404
12,2058.0,2.0,0.023090327504583227
13,2058.0,3.0,0.0003195072054801201
14,2058.0,4.0,0.013333675868869172
15,2058.0,5.0,0.001968716271086291
16,2058.0,6.0,0.0152980223298954
17,2058.0,7.0,0.010693455777969357
18,2058.0,8.0,0.0074058086339629375
19,2058.0,9.0,0.01217275638258877
20,2059.0,0.0,0.02135557327223638
21,2059.0,1.0,0.030065543023727177
22,2059.0,2.0,0.019970801778060387
23,2059.0,3.0,0.001954459163437976
24,2059.0,4.0,0.025947594658048627
25,2059.0,5.0,0.001513767435452717
26,2059.0,6.0,0.023419128263042762
27,2059.0,7.0,0.011021102612088014
28,2059.0,8.0,0.008817844432859302
29,2059.0,9.0,0.007803401565732743
30,2060.0,0.0,0.02748954006025743
31,2060.0,1.0,0.016995872648988525
32,2060.0,2.0,0.007154576456690947
33,2060.0,3.0,0.00028208784049209756
34,2060.0,4.0,0.013190842873415487
35,2060.0,5.0,0.0034241289664022085
36,2060.0,6.0,0.0061577199408339245
37,2060.0,7.0,0.0265033594289486
38,2060.0,8.0,0.0007049116530380777
39,2060.0,9.0,0.007937402970783864
40,2061.0,0.0,0.04597303290198076
41,2061.0,1.0,0.027915339492070604
42,2061.0,2.0,0.025635472183630867
43,2061.0,3.0,0.004928162055620666
44,2061.0,4.0,0.019448273901027106
45,2061.0,5.0,0.0020584375322960395
46,2061.0,6.0,0.02876835592381434
47,2061.0,7.0,0.016284165936114356
48,2061.0,8.0,0.017268845118648693
49,2061.0,9.0,0.00819148588320259
50,2063.0,0.0,0.04220219299059045
51,2063.0,1.0,0.03714814332715898
52,2063.0,2.0,0.016327726416107993
53,2063.0,3.0,0.005501930457909569
54,2063.0,4.0,0.009763379496284724
55,2063.0,5.0,0.001591416865901753
56,2063.0,6.0,0.0070329415504040175
57,2063.0,7.0,0.01238846027217698
58,2063.0,8.0,0.005125501510016383
