,Topic #00,Topic #01,Topic #02,Topic #03,Topic #04,Topic #05,Topic #06,Topic #07,Topic #08,Topic #09
0,say,look,know,hermione,come,harry,tell,think,ask,right
1,voice,face,want,whisper,sir,eye,happen,try,ball,feel
2,quietly,turn,make,hand,time,hand,father,dyou,question,turn
3,angrily,eye,mean,sit,father,foot,master,really,quietly,quite
4,eye,stand,happen,angrily,watch,ear,time,want,girl,hand
5,slowly,watch,really,good,meet,grinning,year,time,tentatively,leave
6,good,forward,sir,gasp,sit,mouth,truth,start,help,just
7,want,time,hear,snap,task,shoulder,eye,maybe,eagerly,door
8,sharply,extremely,talk,mouth,chair,arm,task,attack,want,close
9,thank,head,people,voice,spot,feel,thing,hear,borrow,end
