,chapter_no,topic_no,topic_prob
0,2132.0,0.0,0.03837209569628557
1,2132.0,1.0,0.021732994157083657
2,2132.0,2.0,0.006885940745107217
3,2132.0,3.0,0.026685150877224832
4,2132.0,4.0,0.019948094889034828
5,2132.0,5.0,0.0
6,2132.0,6.0,0.019809841767885125
7,2132.0,7.0,0.008597116991045263
8,2132.0,8.0,0.002566414964765316
9,2132.0,9.0,0.018800562766796668
10,2133.0,0.0,0.03215099659955248
11,2133.0,1.0,0.02603819850242939
12,2133.0,2.0,0.017304174497812155
13,2133.0,3.0,0.02943307532487652
14,2133.0,4.0,0.029075982180716397
15,2133.0,5.0,0.00012377490992594993
16,2133.0,6.0,0.007626302342715877
17,2133.0,7.0,0.006943803791091703
18,2133.0,8.0,0.008478145906174817
19,2133.0,9.0,0.008102172421374298
20,2134.0,0.0,0.03245963609771396
21,2134.0,1.0,0.015906528778503282
22,2134.0,2.0,0.009111434259805906
23,2134.0,3.0,0.030913025944215217
24,2134.0,4.0,0.009042899773656951
25,2134.0,5.0,0.0
26,2134.0,6.0,0.0037249009662320247
27,2134.0,7.0,0.014686093089332636
28,2134.0,8.0,0.01755765806369986
29,2134.0,9.0,0.0164099143709255
30,2135.0,0.0,0.04764737084990486
31,2135.0,1.0,0.019192158709655033
32,2135.0,2.0,0.017627494228381845
33,2135.0,3.0,0.02689484308302516
34,2135.0,4.0,0.03424398261827409
35,2135.0,5.0,0.0010528000041175297
36,2135.0,6.0,0.015897751339724955
37,2135.0,7.0,0.017424345734247507
38,2135.0,8.0,0.017091685748181325
39,2135.0,9.0,0.019077766164851066
40,2136.0,0.0,0.05461751278239486
41,2136.0,1.0,0.0315056171966377
42,2136.0,2.0,0.01682303797831481
43,2136.0,3.0,0.03285687669929502
44,2136.0,4.0,0.02524942094870438
45,2136.0,5.0,0.03158011667645098
46,2136.0,6.0,0.016555415499462652
47,2136.0,7.0,0.02933136940923655
48,2136.0,8.0,0.008417140397449318
49,2136.0,9.0,0.02168688714525385
50,2137.0,0.0,0.043602290147160626
51,2137.0,1.0,0.020415337432051584
52,2137.0,2.0,0.01095097372696867
53,2137.0,3.0,0.047668674690860335
54,2137.0,4.0,0.01632538477329321
55,2137.0,5.0,0.013511518242846873
56,2137.0,6.0,0.00454991709118892
57,2137.0,7.0,0.01439985450585761
58,2137.0,8.0,0.01895277683918648
59,2137.0,9.0,0.013198931172201217
60,2138.0,0.0,0.04560389715024962
61,2138.0,1.0,0.020714692351951933
62,2138.0,2.0,0.019125668687176425
63,2138.0,3.0,0.04917161186739254
64,2138.0,4.0,0.026707769110998376
65,2138.0,5.0,0.0032297693180202403
66,2138.0,6.0,0.011054755764873555
67,2138.0,7.0,0.01634423878042818
68,2138.0,8.0,0.02179285862506174
69,2138.0,9.0,0.01720648062923929
70,2139.0,0.0,0.04630057050083166
71,2139.0,1.0,0.024955996032833796
72,2139.0,2.0,0.010449578374045913
73,2139.0,3.0,0.04329434390493461
74,2139.0,4.0,0.028270400524821177
75,2139.0,5.0,0.01267329806033788
76,2139.0,6.0,0.02052965162836434
77,2139.0,7.0,0.023301993955926796
78,2139.0,8.0,0.014338087627139243
79,2139.0,9.0,0.023350486634568377
80,2141.0,0.0,0.03829503527251924
81,2141.0,1.0,0.007558428005990818
82,2141.0,2.0,0.007334959741609278
83,2141.0,3.0,0.03646230372151618
84,2141.0,4.0,0.02388443529643702
85,2141.0,5.0,0.002010912050311802
86,2141.0,6.0,0.014499670230426512
87,2141.0,7.0,0.014696892413689036
88,2141.0,8.0,0.002838627770480264
89,2141.0,9.0,0.023165322340916915
90,2142.0,0.0,0.04477403090453589
91,2142.0,1.0,0.02400650249843561
92,2142.0,2.0,0.012688188447973547
93,2142.0,3.0,0.04929923328237866
94,2142.0,4.0,0.024554951074828767
95,2142.0,5.0,0.02646969212015392
96,2142.0,6.0,0.014528557871837012
97,2142.0,7.0,0.024675238889730527
98,2142.0,8.0,0.017644703103329717
99,2142.0,9.0,0.020294205392282116
100,2143.0,0.0,0.04308572542075324
101,2143.0,1.0,0.014941367239707043
102,2143.0,2.0,0.012535023044928227
103,2143.0,3.0,0.0248096658332654
104,2143.0,4.0,0.016960791327742954
105,2143.0,5.0,0.015251341830483706
106,2143.0,6.0,0.0289908722497948
107,2143.0,7.0,0.014755669461608657
108,2143.0,8.0,0.010514815227034312
109,2143.0,9.0,0.008695617172493066
110,2144.0,0.0,0.042628302455094295
111,2144.0,1.0,0.02580416397804962
112,2144.0,2.0,0.016759804796570268
113,2144.0,3.0,0.04091728720894292
114,2144.0,4.0,0.015796344530866393
115,2144.0,5.0,0.0
116,2144.0,6.0,0.033698996639187836
117,2144.0,7.0,0.028986148320427407
118,2144.0,8.0,0.012830420933608797
119,2144.0,9.0,0.007631594777650743
120,2145.0,0.0,0.03694813877978152
121,2145.0,1.0,0.016612198959777242
122,2145.0,2.0,0.014068085886240799
123,2145.0,3.0,0.04301503776207567
124,2145.0,4.0,0.025814630680222574
125,2145.0,5.0,0.01761237997501143
126,2145.0,6.0,0.007391762521669632
127,2145.0,7.0,0.016179030045724213
128,2145.0,8.0,0.014757206797011396
129,2145.0,9.0,0.02358664870456234
130,2146.0,0.0,0.0494030949877712
