,Topic #00,Topic #01,Topic #02,Topic #03,Topic #04,Topic #05,Topic #06,Topic #07,Topic #08,Topic #09
0,say,know,ask,hermione,look,think,come,tell,wand,want
1,voice,happen,voice,whisper,face,right,voice,truth,point,sword
2,right,mean,question,scream,eye,mean,hear,need,raise,talk
3,course,need,suspiciously,hand,stand,suppose,moment,sword,wizard,help
4,quietly,sure,son,turn,turn,eye,harry,happen,hold,leave
5,leave,thing,abruptly,glance,little,leave,run,wait,hand,person
6,goblin,really,need,right,bewilder,really,way,time,power,word
7,hear,work,turn,squeal,room,happen,halt,let,immense,sure
8,way,die,man,tear,snape,make,time,try,phoenix,truth
9,sharply,time,furiously,point,away,thing,wait,way,holly,dead
