,Topic #00,Topic #01,Topic #02,Topic #03,Topic #04,Topic #05,Topic #06,Topic #07,Topic #08,Topic #09
0,say,hermione,look,come,know,think,tell,hear,want,dementor
1,quietly,whisper,turn,voice,mean,good,happen,voice,kill,thing
2,voice,gasp,face,let,time,right,really,door,help,hood
3,quickly,hand,quickly,match,sure,make,time,time,revenge,hand
4,poor,turn,eye,castle,dyou,really,bed,happen,understand,near
5,suddenly,scream,window,moment,people,thing,believe,scream,time,turn
6,hand,moan,snape,time,right,matter,year,close,word,pass
7,slowly,earnestly,close,minute,really,help,need,talk,leave,drive
8,good,lie,slightly,stay,dad,people,truth,open,ter,remember
9,smile,ignore,watch,try,work,break,die,leave,ask,circle
