,Topic #00,Topic #01,Topic #02,Topic #03,Topic #04,Topic #05,Topic #06,Topic #07,Topic #08,Topic #09
0,say,know,ask,look,think,hermione,tell,come,want,good
1,voice,mean,question,face,time,whisper,course,school,make,night
2,quietly,really,quietly,turn,help,ignore,truth,halt,job,evening
3,quickly,happen,away,time,hard,feel,hear,voice,kill,luck
4,right,wonder,ignore,girl,right,hand,need,help,talk,time
5,course,thing,snape,stand,moment,gasp,try,office,really,really
6,angrily,course,angrily,eye,people,leave,happen,place,people,bye
7,hear,leave,desperately,exchange,reason,turn,memory,way,hear,friend
8,hand,people,nervously,stunned,really,point,time,really,help,day
9,thank,year,try,ron,mutter,really,remember,tonk,obviously,mate
